NUFIN;int;no;4;"10   ";"0    ";no;(n/a);(n/a);NULL
CODEMP;smallint;no;2;"5    ";"0    ";no;(n/a);(n/a);NULL
NUMNOTA;int;no;4;"10   ";"0    ";no;(n/a);(n/a);NULL
SERIENOTA;char;no;3;"     ";"     ";yes;no;yes;Latin1_General_CI_AI
DTNEG;datetime;no;8;"     ";"     ";no;(n/a);(n/a);NULL
DESDOBRAMENTO;char;no;2;"     ";"     ";yes;no;yes;Latin1_General_CI_AI
DHMOV;datetime;no;8;"     ";"     ";no;(n/a);(n/a);NULL
DTVENCINIC;datetime;no;8;"     ";"     ";yes;(n/a);(n/a);NULL
DTVENC;datetime;no;8;"     ";"     ";yes;(n/a);(n/a);NULL
DHBAIXA;datetime;no;8;"     ";"     ";yes;(n/a);(n/a);NULL
DTCONTAB;datetime;no;8;"     ";"     ";yes;(n/a);(n/a);NULL
DTCONTABBAIXA;datetime;no;8;"     ";"     ";yes;(n/a);(n/a);NULL
CODPARC;int;no;4;"10   ";"0    ";no;(n/a);(n/a);NULL
CODTIPOPER;smallint;no;2;"5    ";"0    ";no;(n/a);(n/a);NULL
DHTIPOPER;datetime;no;8;"     ";"     ";no;(n/a);(n/a);NULL
CODBCO;smallint;no;2;"5    ";"0    ";no;(n/a);(n/a);NULL
CODCTABCOINT;smallint;no;2;"5    ";"0    ";yes;(n/a);(n/a);NULL
CODNAT;int;no;4;"10   ";"0    ";no;(n/a);(n/a);NULL
CODCENCUS;int;no;4;"10   ";"0    ";no;(n/a);(n/a);NULL
CODPROJ;int;no;4;"10   ";"0    ";yes;(n/a);(n/a);NULL
CODVEND;smallint;no;2;"5    ";"0    ";no;(n/a);(n/a);NULL
CODMOEDA;smallint;no;2;"5    ";"0    ";no;(n/a);(n/a);NULL
CODTIPTIT;smallint;no;2;"5    ";"0    ";no;(n/a);(n/a);NULL
NUMDUPL;int;no;4;"10   ";"0    ";yes;(n/a);(n/a);NULL
DESDOBDUPL;char;no;2;"     ";"     ";yes;no;yes;Latin1_General_CI_AI
NOSSONUM;char;no;12;"     ";"     ";yes;no;yes;Latin1_General_CI_AI
HISTORICO;char;no;5000;"     ";"     ";yes;no;yes;Latin1_General_CI_AI
VLRDESDOB;money;no;8;"19   ";"4    ";no;(n/a);(n/a);NULL
VLRVENDOR;money;no;8;"19   ";"4    ";no;(n/a);(n/a);NULL
VLRIRF;money;no;8;"19   ";"4    ";no;(n/a);(n/a);NULL
VLRISS;money;no;8;"19   ";"4    ";no;(n/a);(n/a);NULL
DESPCART;money;no;8;"19   ";"4    ";no;(n/a);(n/a);NULL
ISSRETIDO;char;no;1;"     ";"     ";no;no;no;Latin1_General_CI_AI
VLRDESC;money;no;8;"19   ";"4    ";no;(n/a);(n/a);NULL
VLRMULTA;money;no;8;"19   ";"4    ";no;(n/a);(n/a);NULL
VLRINSS;money;no;8;"19   ";"4    ";no;(n/a);(n/a);NULL
VLRCHEQUE;money;no;8;"19   ";"4    ";yes;(n/a);(n/a);NULL
TIPMULTA;char;no;1;"     ";"     ";yes;no;yes;Latin1_General_CI_AI
VLRJURO;money;no;8;"19   ";"4    ";no;(n/a);(n/a);NULL
TIPJURO;char;no;1;"     ";"     ";yes;no;yes;Latin1_General_CI_AI
BASEICMS;money;no;8;"19   ";"4    ";no;(n/a);(n/a);NULL
